latency_ms,kind,name,ok,timestamp
118.4574729995802,GROCERY_ORDER,POST /submit (fridge),1,1772603984.4349225
94.02497500013851,GROCERY_ORDER,POST /submit (fridge),1,1772603984.7087376
102.77559899986954,GROCERY_ORDER,POST /submit (fridge),1,1772603985.0514462
107.07875099978992,GROCERY_ORDER,POST /submit (fridge),1,1772603987.4258277
97.85660400120832,GROCERY_ORDER,POST /submit (fridge),1,1772603989.417348
106.41355500047212,GROCERY_ORDER,POST /submit (fridge),1,1772603991.4278388
87.54157299881626,GROCERY_ORDER,POST /submit (fridge),1,1772603991.7441657
10152.562215000216,GROCERY_ORDER,POST /submit (fridge),1,1772603995.3116548
10131.949537000764,GROCERY_ORDER,POST /submit (fridge),1,1772603995.449096
10055.361121001624,RESTOCK_ORDER,POST /submit (truck),1,1772603996.3734279
1069.5303120010067,GROCERY_ORDER,POST /submit (fridge),1,1772603996.4547951
10132.231215999127,GROCERY_ORDER,POST /submit (fridge),1,1772603997.6445138
10163.155303000167,GROCERY_ORDER,POST /submit (fridge),1,1772603998.4824014
2132.148075999794,GROCERY_ORDER,POST /submit (fridge),1,1772603998.5710702
10150.243054000384,GROCERY_ORDER,POST /submit (fridge),1,1772603999.673094
10143.109157999788,GROCERY_ORDER,POST /submit (fridge),1,1772604000.463911
10123.987142998885,GROCERY_ORDER,POST /submit (fridge),1,1772604002.0848703
10126.109632999942,GROCERY_ORDER,POST /submit (fridge),1,1772604002.448338
3836.340318999646,GROCERY_ORDER,POST /submit (fridge),1,1772604002.5178437
3820.2411729998857,GROCERY_ORDER,POST /submit (fridge),1,1772604002.5701163
10055.591546999494,RESTOCK_ORDER,POST /submit (truck),1,1772604003.378372
3549.5941640001547,GROCERY_ORDER,POST /submit (fridge),1,1772604003.466438
3215.560483000445,GROCERY_ORDER,POST /submit (fridge),1,1772604003.5437799
2931.1229399991134,GROCERY_ORDER,POST /submit (fridge),1,1772604003.6128664
11116.019233999396,GROCERY_ORDER,POST /submit (fridge),1,1772604005.439135
10208.312067999941,GROCERY_ORDER,POST /submit (fridge),1,1772604005.5319998
3282.308027999534,GROCERY_ORDER,POST /submit (fridge),1,1772604005.6127615
11014.03044899962,GROCERY_ORDER,POST /submit (fridge),1,1772604006.5897493
11448.02431000062,GROCERY_ORDER,POST /submit (fridge),1,1772604007.772663
5119.302176999554,GROCERY_ORDER,POST /submit (fridge),1,1772604007.852182
4612.851146001049,GROCERY_ORDER,POST /submit (fridge),1,1772604007.9449139
4420.122086999982,GROCERY_ORDER,POST /submit (fridge),1,1772604008.0204551
4470.054170000367,GROCERY_ORDER,POST /submit (fridge),1,1772604008.093296
12171.179040000425,GROCERY_ORDER,POST /submit (fridge),1,1772604008.70345
12483.455014998981,GROCERY_ORDER,POST /submit (fridge),1,1772604009.808778
4331.732685999668,GROCERY_ORDER,POST /submit (fridge),1,1772604009.886098
