latency_ms,kind,name,ok,timestamp
6701.739917998566,GROCERY_ORDER,POST /submit (fridge),1,1772604732.189158
5784.114767000574,GROCERY_ORDER,POST /submit (fridge),1,1772604732.2710245
5868.749303999721,GROCERY_ORDER,POST /submit (fridge),1,1772604732.3570094
4939.769855000122,GROCERY_ORDER,POST /submit (fridge),1,1772604732.428022
5609.866316999614,GROCERY_ORDER,POST /submit (fridge),1,1772604734.099692
4688.237361000574,GROCERY_ORDER,POST /submit (fridge),1,1772604734.1774678
7591.033667000374,GROCERY_ORDER,POST /submit (fridge),1,1772604739.0828614
15175.083308999092,RESTOCK_ORDER,POST /submit (truck),1,1772604739.6658852
15524.520087999917,GROCERY_ORDER,POST /submit (fridge),1,1772604741.0103095
16528.131684999607,GROCERY_ORDER,POST /submit (fridge),1,1772604741.0130348
15079.530768998666,GROCERY_ORDER,POST /submit (fridge),1,1772604742.5691788
15306.74268599978,GROCERY_ORDER,POST /submit (fridge),1,1772604743.795173
14803.364674000477,GROCERY_ORDER,POST /submit (fridge),1,1772604744.2939315
10870.164175001264,GROCERY_ORDER,POST /submit (fridge),1,1772604744.3627987
14812.04407900077,GROCERY_ORDER,POST /submit (fridge),1,1772604745.3021324
11167.381233000924,GROCERY_ORDER,POST /submit (fridge),1,1772604745.385285
16011.380003999875,GROCERY_ORDER,POST /submit (fridge),1,1772604746.5030296
7285.801130999971,GROCERY_ORDER,POST /submit (fridge),1,1772604746.5826054
15923.136608000277,RESTOCK_ORDER,POST /submit (truck),1,1772604747.4136178
16851.042526001038,GROCERY_ORDER,POST /submit (fridge),1,1772604749.2194421
17351.986552001108,GROCERY_ORDER,POST /submit (fridge),1,1772604749.7863739
18649.320276001163,GROCERY_ORDER,POST /submit (fridge),1,1772604751.1423705
18652.979866999885,GROCERY_ORDER,POST /submit (fridge),1,1772604751.1447337
20012.792175999493,GROCERY_ORDER,POST /submit (fridge),0,1772604752.559035
20012.27174199994,GROCERY_ORDER,POST /submit (fridge),0,1772604752.6118588
20020.98530999865,GROCERY_ORDER,POST /submit (fridge),0,1772604753.515206
8573.723786999835,GROCERY_ORDER,POST /submit (fridge),1,1772604753.9975255
8628.422657999181,GROCERY_ORDER,POST /submit (fridge),1,1772604754.0796173
7481.042698998863,GROCERY_ORDER,POST /submit (fridge),1,1772604754.159094
7539.7479250004835,GROCERY_ORDER,POST /submit (fridge),1,1772604754.2422836
6777.231469999606,GROCERY_ORDER,POST /submit (fridge),1,1772604754.3093626
20009.95521799996,RESTOCK_ORDER,POST /submit (truck),0,1772604754.4334888
16896.868185998756,GROCERY_ORDER,POST /submit (fridge),1,1772604756.7065284
16344.776421999995,GROCERY_ORDER,POST /submit (fridge),1,1772604757.5506535
4947.946567999679,GROCERY_ORDER,POST /submit (fridge),1,1772604757.6273034
4904.939336998723,GROCERY_ORDER,POST /submit (fridge),1,1772604757.7049184
18023.656663999645,RESTOCK_ORDER,POST /submit (truck),1,1772604759.2611358
17245.632182999543,GROCERY_ORDER,POST /submit (fridge),1,1772604759.9213545
5722.765272999823,GROCERY_ORDER,POST /submit (fridge),1,1772604760.0024571
16779.829707000317,RESTOCK_ORDER,POST /submit (truck),1,1772604761.1950388
6909.627065999302,GROCERY_ORDER,POST /submit (fridge),1,1772604761.275716
17420.437319000484,GROCERY_ORDER,POST /submit (fridge),1,1772604761.2781196
6879.793965999852,GROCERY_ORDER,POST /submit (fridge),1,1772604761.3537939
18277.981225000985,RESTOCK_ORDER,POST /submit (truck),1,1772604762.741237
5182.675289999679,GROCERY_ORDER,POST /submit (fridge),1,1772604762.8253648
15052.502767000988,GROCERY_ORDER,POST /submit (fridge),1,1772604764.427686
6650.571201000275,GROCERY_ORDER,POST /submit (fridge),1,1772604764.5062153
14659.888680998847,RESTOCK_ORDER,POST /submit (truck),1,1772604764.52773
4589.536441000746,GROCERY_ORDER,POST /submit (fridge),1,1772604764.5974674
4463.587505999385,GROCERY_ORDER,POST /submit (fridge),1,1772604764.6780972
14340.931832000933,GROCERY_ORDER,POST /submit (fridge),1,1772604765.5572267
15573.734477000471,GROCERY_ORDER,POST /submit (fridge),1,1772604766.8157487
14133.542976000172,GROCERY_ORDER,POST /submit (fridge),1,1772604767.8445985
15186.64694400104,GROCERY_ORDER,POST /submit (fridge),1,1772604769.3921368
6553.887353000391,GROCERY_ORDER,POST /submit (fridge),1,1772604769.4687896
15725.102999000228,RESTOCK_ORDER,POST /submit (truck),1,1772604770.043807
5548.048216000097,GROCERY_ORDER,POST /submit (fridge),1,1772604770.1304111
5605.950039000163,GROCERY_ORDER,POST /submit (fridge),1,1772604770.2068427
14480.853400000342,RESTOCK_ORDER,POST /submit (truck),1,1772604771.3871784
16847.9340949998,GROCERY_ORDER,POST /submit (fridge),1,1772604771.4112127
6657.302669000273,GROCERY_ORDER,POST /submit (fridge),1,1772604771.472041
15275.029242000528,GROCERY_ORDER,POST /submit (fridge),1,1772604772.9591172
15163.125220000438,RESTOCK_ORDER,POST /submit (truck),1,1772604774.547017
13406.335237999883,RESTOCK_ORDER,POST /submit (truck),1,1772604774.7188597
14208.327976999499,RESTOCK_ORDER,POST /submit (truck),1,1772604775.5956924
15441.06775200089,RESTOCK_ORDER,POST /submit (truck),1,1772604776.854722
16391.517411999303,RESTOCK_ORDER,POST /submit (truck),1,1772604777.8832018
16615.336508999462,GROCERY_ORDER,POST /submit (fridge),1,1772604779.5967045
9335.055900000953,GROCERY_ORDER,POST /submit (fridge),1,1772604779.6755843
15728.5745829995,GROCERY_ORDER,POST /submit (fridge),1,1772604780.3426642
16692.909739000243,GROCERY_ORDER,POST /submit (fridge),1,1772604781.536891
15864.464996000606,GROCERY_ORDER,POST /submit (fridge),1,1772604781.6054626
15989.619790001598,RESTOCK_ORDER,POST /submit (truck),1,1772604782.9991908
8360.851546000049,GROCERY_ORDER,POST /submit (fridge),1,1772604783.0775244
